"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"226","query_1","TRUE","0.00699275304679215","231","453","18","0.0397350993377483","0.0779220779220779","GO:0001649","GO:BP","osteoblast differentiation","21031","372","c(""GO:0001503"", ""GO:0030154"")"
"227","query_1","TRUE","0.00726267597462509","341","689","29","0.0420899854862119","0.0850439882697947","GO:0051235","GO:BP","maintenance of location","21031","14033","GO:0051179"
"228","query_1","TRUE","0.00740643848606769","511","695","38","0.0546762589928058","0.0743639921722113","GO:1901652","GO:BP","response to peptide","21031","22152","c(""GO:0010243"", ""GO:1901700"")"
"229","query_1","TRUE","0.00751481370360647","441","365","23","0.063013698630137","0.0521541950113379","GO:0050673","GO:BP","epithelial cell proliferation","21031","13636","GO:0008283"
"230","query_1","TRUE","0.00769165983684964","157","677","18","0.0265878877400295","0.114649681528662","GO:0030832","GO:BP","regulation of actin filament length","21031","7154","c(""GO:0032535"", ""GO:0032956"")"
"231","query_1","TRUE","0.007903812324776","1778","611","85","0.13911620294599","0.0478065241844769","GO:0023056","GO:BP","positive regulation of signaling","21031","6878","c(""GO:0023051"", ""GO:0023052"", ""GO:0048518"")"
"232","query_1","TRUE","0.00810898948605847","1092","367","41","0.111716621253406","0.0375457875457875","GO:0001775","GO:BP","cell activation","21031","445","c(""GO:0009987"", ""GO:0032501"")"
"233","query_1","TRUE","0.0086077575585144","357","700","30","0.0428571428571429","0.0840336134453782","GO:0007517","GO:BP","muscle organ development","21031","3033","c(""GO:0048513"", ""GO:0061061"")"
"234","query_1","TRUE","0.00861264391282686","211","313","14","0.0447284345047923","0.0663507109004739","GO:1901888","GO:BP","regulation of cell junction assembly","21031","22366","c(""GO:0034329"", ""GO:0044087"", ""GO:0051128"")"
"235","query_1","TRUE","0.00907048100992014","309","687","27","0.0393013100436681","0.087378640776699","GO:0007249","GO:BP","canonical NF-kappaB signal transduction","21031","2816","GO:0141124"
"236","query_1","TRUE","0.00931691984047026","102","49","5","0.102040816326531","0.0490196078431373","GO:0070252","GO:BP","actin-mediated cell contraction","21031","16514","GO:0030048"
"237","query_1","TRUE","0.00955398979864219","91","213","8","0.0375586854460094","0.0879120879120879","GO:0051492","GO:BP","regulation of stress fiber assembly","21031","14202","c(""GO:0032231"", ""GO:0043149"", ""GO:0110020"")"
"238","query_1","TRUE","0.00962382797596152","964","695","59","0.0848920863309353","0.0612033195020747","GO:0010243","GO:BP","response to organonitrogen compound","21031","4060","c(""GO:0010033"", ""GO:1901698"")"
"239","query_1","TRUE","0.00998216218582321","1791","712","96","0.134831460674157","0.0536013400335008","GO:0006952","GO:BP","defense response","21031","2614","GO:0006950"
"240","query_1","TRUE","8.89481380883892e-18","167","464","32","0.0689655172413793","0.191616766467066","GO:0005201","GO:MF","extracellular matrix structural constituent","20212","1350","GO:0005198"
"241","query_1","TRUE","3.12966169127368e-13","14838","705","605","0.858156028368794","0.0407736891764389","GO:0005515","GO:MF","protein binding","20212","1492","GO:0005488"
"242","query_1","TRUE","3.60206851093193e-13","60","455","18","0.0395604395604396","0.3","GO:0050840","GO:MF","extracellular matrix binding","20212","7919","GO:0005488"
"243","query_1","TRUE","1.36775708595532e-10","45","86","9","0.104651162790698","0.2","GO:0030020","GO:MF","extracellular matrix structural constituent conferring tensile strength","20212","3825","GO:0005201"
"244","query_1","TRUE","2.72070460463671e-09","1002","306","47","0.15359477124183","0.0469061876247505","GO:0008092","GO:MF","cytoskeletal protein binding","20212","1544","GO:0005515"
"245","query_1","TRUE","3.98989649980246e-09","69","671","18","0.0268256333830104","0.260869565217391","GO:0005518","GO:MF","collagen binding","20212","1494","GO:0044877"
"246","query_1","TRUE","9.87865549542257e-09","1501","472","78","0.165254237288136","0.0519653564290473","GO:0005102","GO:MF","signaling receptor binding","20212","1277","GO:0005515"
"247","query_1","TRUE","3.46693641278097e-08","561","481","42","0.0873180873180873","0.0748663101604278","GO:0050839","GO:MF","cell adhesion molecule binding","20212","7918","GO:0005515"
"248","query_1","TRUE","6.32911942610007e-08","28","413","10","0.0242130750605327","0.357142857142857","GO:0043236","GO:MF","laminin binding","20212","5739","c(""GO:0005515"", ""GO:0050840"")"
"249","query_1","TRUE","2.62554174645125e-07","443","677","43","0.0635155096011817","0.0970654627539503","GO:0003779","GO:MF","actin binding","20212","361","GO:0008092"
"250","query_1","TRUE","3.38981837452245e-07","726","449","45","0.10022271714922","0.0619834710743802","GO:0005509","GO:MF","calcium ion binding","20212","1491","GO:0046872"
"251","query_1","TRUE","3.70786100063409e-07","158","463","20","0.0431965442764579","0.126582278481013","GO:0005178","GO:MF","integrin binding","20212","1341","c(""GO:0005102"", ""GO:0044877"", ""GO:0050839"")"
"252","query_1","TRUE","5.7635371761242e-07","36","671","12","0.0178837555886736","0.333333333333333","GO:0043394","GO:MF","proteoglycan binding","20212","5753","c(""GO:0005515"", ""GO:0097367"")"
"253","query_1","TRUE","5.87350533076132e-07","29","671","11","0.0163934426229508","0.379310344827586","GO:0001968","GO:MF","fibronectin binding","20212","286","GO:0005515"
"254","query_1","TRUE","6.09216746775241e-07","134","693","22","0.0317460317460317","0.164179104477612","GO:0019838","GO:MF","growth factor binding","20212","3710","GO:0005515"
"255","query_1","TRUE","1.21825990379488e-05","2162","695","122","0.175539568345324","0.0564292321924144","GO:0042802","GO:MF","identical protein binding","20212","5644","GO:0005515"
"256","query_1","TRUE","1.73761109316751e-05","5","179","4","0.0223463687150838","0.8","GO:0004720","GO:MF","protein-lysine 6-oxidase activity","20212","1006","c(""GO:0016641"", ""GO:0140096"")"
"257","query_1","TRUE","2.04116367065415e-05","67","463","12","0.0259179265658747","0.17910447761194","GO:0098631","GO:MF","cell adhesion mediator activity","20212","9166","GO:0050839"
"258","query_1","TRUE","2.26827300007829e-05","1100","72","18","0.25","0.0163636363636364","GO:0005198","GO:MF","structural molecule activity","20212","1347","GO:0003674"
"259","query_1","TRUE","3.25150012964946e-05","247","310","18","0.0580645161290323","0.0728744939271255","GO:0005539","GO:MF","glycosaminoglycan binding","20212","1507","GO:0097367"
"260","query_1","TRUE","3.94343211317822e-05","16","520","7","0.0134615384615385","0.4375","GO:0016641","GO:MF","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","20212","2869","GO:0016638"
"261","query_1","TRUE","9.21519940344338e-05","483","475","32","0.0673684210526316","0.0662525879917184","GO:0005543","GO:MF","phospholipid binding","20212","1510","GO:0008289"
"262","query_1","TRUE","0.000221788291516581","176","394","16","0.0406091370558376","0.0909090909090909","GO:0008201","GO:MF","heparin binding","20212","1610","c(""GO:0005539"", ""GO:1901681"")"
"263","query_1","TRUE","0.000244325067351167","20","520","7","0.0134615384615385","0.35","GO:0016638","GO:MF","oxidoreductase activity, acting on the CH-NH2 group of donors","20212","2866","GO:0016491"
"264","query_1","TRUE","0.000567684534054969","268","311","17","0.0546623794212219","0.0634328358208955","GO:1901681","GO:MF","sulfur compound binding","20212","10932","GO:0005488"
"265","query_1","TRUE","0.000595462621547484","145","338","13","0.0384615384615385","0.0896551724137931","GO:0019955","GO:MF","cytokine binding","20212","3740","GO:0005515"
"266","query_1","TRUE","0.00116350086368121","13","150","4","0.0266666666666667","0.307692307692308","GO:0031994","GO:MF","insulin-like growth factor I binding","20212","4365","GO:0005520"
"267","query_1","TRUE","0.00165666622735567","1752","351","57","0.162393162393162","0.0325342465753425","GO:0044877","GO:MF","protein-containing complex binding","20212","6047","GO:0005488"
"268","query_1","TRUE","0.00248054334079227","724","689","49","0.0711175616835994","0.0676795580110497","GO:0042803","GO:MF","protein homodimerization activity","20212","5645","c(""GO:0042802"", ""GO:0046983"")"
"269","query_1","TRUE","0.00254383761214272","46","421","8","0.0190023752969121","0.173913043478261","GO:0032266","GO:MF","phosphatidylinositol-3-phosphate binding","20212","4412","GO:1901981"
"270","query_1","TRUE","0.0037728197326071","14","419","5","0.0119331742243437","0.357142857142857","GO:0031005","GO:MF","filamin binding","20212","4084","GO:0008092"
"271","query_1","TRUE","0.00609221260880767","19","150","4","0.0266666666666667","0.210526315789474","GO:0005520","GO:MF","insulin-like growth factor binding","20212","1496","GO:0019838"
"272","query_1","TRUE","0.00704297157025127","11","86","3","0.0348837209302326","0.272727272727273","GO:0048407","GO:MF","platelet-derived growth factor binding","20212","7271","GO:0019838"
"273","query_1","TRUE","0.00749156344318383","11","644","5","0.0077639751552795","0.454545454545455","GO:0048185","GO:MF","activin binding","20212","7258","GO:0044877"
"274","query_1","TRUE","1.9258532816984e-05","89","109","10","0.0917431192660551","0.112359550561798","KEGG:04512","KEGG","ECM-receptor interaction","8484","314","KEGG:00000"
"275","query_1","TRUE","7.63067865801407e-05","103","7","4","0.571428571428571","0.0388349514563107","KEGG:04974","KEGG","Protein digestion and absorption","8484","405","KEGG:00000"
"276","query_1","TRUE","0.000157439910071353","202","463","29","0.0626349892008639","0.143564356435644","KEGG:04510","KEGG","Focal adhesion","8484","313","KEGG:00000"
