"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"110","query_1","TRUE","4.36540595778082e-12","247","1657","60","0.0362100181050091","0.242914979757085","GO:0050870","GO:BP","positive regulation of T cell activation","21031","13753","c(""GO:0042110"", ""GO:0050863"", ""GO:0051251"", ""GO:1903039"")"
"111","query_1","TRUE","6.35195124197452e-12","1663","1782","233","0.130751964085297","0.140108238123873","GO:1901700","GO:BP","response to oxygen-containing compound","21031","22187","GO:0042221"
"112","query_1","TRUE","6.8941522377115e-12","396","1519","76","0.0500329163923634","0.191919191919192","GO:0050900","GO:BP","leukocyte migration","21031","13777","c(""GO:0002376"", ""GO:0016477"")"
"113","query_1","TRUE","8.84336166327459e-12","920","1775","149","0.083943661971831","0.16195652173913","GO:0033993","GO:BP","response to lipid","21031","8654","GO:0010033"
"114","query_1","TRUE","1.01905758247399e-11","433","1896","92","0.0485232067510548","0.212471131639723","GO:1901987","GO:BP","regulation of cell cycle phase transition","21031","22456","c(""GO:0010564"", ""GO:0044770"")"
"115","query_1","TRUE","1.08852653114098e-11","3957","1475","395","0.267796610169492","0.0998230983067981","GO:0042221","GO:BP","response to chemical","21031","10394","GO:0050896"
"116","query_1","TRUE","1.1352827762773e-11","477","1657","90","0.0543150271575136","0.188679245283019","GO:0045785","GO:BP","positive regulation of cell adhesion","21031","12013","c(""GO:0007155"", ""GO:0030155"", ""GO:0048522"")"
"117","query_1","TRUE","1.77795697474568e-11","923","1437","128","0.0890744606819763","0.138678223185265","GO:0098657","GO:BP","import into cell","21031","19355","GO:0006810"
"118","query_1","TRUE","2.32561293559870e-11","208","779","36","0.0462130937098845","0.173076923076923","GO:0050866","GO:BP","negative regulation of cell activation","21031","13749","c(""GO:0001775"", ""GO:0048523"", ""GO:0050865"", ""GO:0051241"")"
"119","query_1","TRUE","3.69989344856063e-11","281","1972","70","0.0354969574036511","0.249110320284698","GO:0006260","GO:BP","DNA replication","21031","2098","GO:0006259"
"120","query_1","TRUE","4.43790426903702e-11","211","2012","59","0.029324055666004","0.279620853080569","GO:0002285","GO:BP","lymphocyte activation involved in immune response","21031","824","c(""GO:0002366"", ""GO:0046649"")"
"121","query_1","TRUE","6.57477391114424e-11","3973","1630","427","0.261963190184049","0.107475459350617","GO:0048731","GO:BP","system development","21031","13413","c(""GO:0007275"", ""GO:0048856"")"
"122","query_1","TRUE","8.7243900574078e-11","279","2022","70","0.0346191889218595","0.25089605734767","GO:0140014","GO:BP","mitotic nuclear division","21031","20198","c(""GO:0000280"", ""GO:1903047"")"
"123","query_1","TRUE","9.26802319769804e-11","250","1264","50","0.0395569620253165","0.2","GO:0002699","GO:BP","positive regulation of immune effector process","21031","1224","c(""GO:0002252"", ""GO:0002684"", ""GO:0002697"")"
"124","query_1","TRUE","1.06440631798838e-10","496","1972","101","0.0512170385395538","0.203629032258065","GO:0007346","GO:BP","regulation of mitotic cell cycle","21031","2889","c(""GO:0000278"", ""GO:0051726"")"
"125","query_1","TRUE","1.33935656513252e-10","237","1657","56","0.0337960168980085","0.236286919831224","GO:0050670","GO:BP","regulation of lymphocyte proliferation","21031","13633","c(""GO:0032944"", ""GO:0046651"", ""GO:0051249"")"
"126","query_1","TRUE","1.62623147489981e-10","45","1938","24","0.0123839009287926","0.533333333333333","GO:0044786","GO:BP","cell cycle DNA replication","21031","11546","c(""GO:0006261"", ""GO:0022402"")"
