,0
1120,hr
1121,unc5b
1122,adm2
1123,lgi4
1124,myo7a
1125,abl1
1126,tmem63c
1127,miox
1128,lrrc2
1129,nfatc4
1130,unc5b
1131,adm2
1132,lgi4
1133,myo7a
1134,abl1
1135,tmem63c
1136,miox
1137,lrrc2
1138,nfatc4
1139,fzd8
1140,stard13
1141,kcnk3
1142,gng11
1143,kif26a
1144,sdc2
1145,fzd1
1146,adarb1
1147,tusc1
1148,stard13
1149,kcnk3
1150,gng11
1151,kif26a
1152,sdc2
1153,fzd1
1154,adarb1
1155,slc30a4
1156,tbc1d8b
1157,chrm3
1158,slc35e3
1159,shisa9
1160,slc30a4
1161,chrm3
1162,slc35e3
1163,shisa9
1164,fech
1165,gype
1166,tspo2
1167,hepacam2
1168,cr1l
1169,epb42
1170,ahsp
1171,tmod1
1172,gype
1173,fech
1174,rhce
1175,tspo2
1176,hepacam2
1177,cr1l
1178,epb42
1179,gypa
1180,ahsp
1181,tmod1
1182,lct
1183,trim47
1184,smad6
1185,ptprd
1186,cps1
1187,mfap4
1188,ang
1189,tnfrsf8
1190,mecom
1191,zdhhc15
1192,cthrc1
1193,ccdc138
1194,slc6a20
1195,trim47
1196,smad6
1197,ptprd
1198,cps1
1199,mfap4
1200,ang
1201,tnfrsf8
1202,mecom
1203,zdhhc15
1204,cthrc1
1205,ccdc138
1206,slc6a20
1207,cep170
1208,cep170p1
1209,sdccag8
1210,znf625
1211,ppfibp1
1212,fkbp1b
1213,cep350
1214,cep170p1
1215,sdccag8
1216,znf625
1217,ppfibp1
1218,fkbp1b
1219,cep350
1220,ar
1221,cdo1
1222,sh3bp4
1223,fam124a
1224,gatm
1225,ankrd18dp
1226,kcnj12
1227,eda
1228,plekha6
1229,aox1
1230,anks1b
1231,grik3
1232,fam171b
1233,mpped2
1234,apba1
1235,cdo1
1236,sh3bp4
1237,ankrd18dp
1238,fam124a
1239,gatm
1240,kcnj12
1241,eda
1242,plekha6
1243,aox1
1244,anks1b
1245,grik3
1246,fam171b
1247,mpped2
1248,apba1
1249,sptb
1250,ca1
1251,alas2
1252,epb42
1253,tmcc2
1254,hbd
1255,osbp2
1256,slc4a1
1257,scarna22
1258,snord15b
1259,scarna5
1260,scarna1
1261,snora5a
1262,snord17
1263,snora54
1264,cwf19l1
1265,scarna10
1266,rps29
1267,scarna7
1268,snora23
1269,snora12
1270,ssbp2
1271,neu3
1272,cox20
1273,sv2a
1274,myb
1275,usp49
1276,cdc14b
1277,fam98b
1278,wnt10a
1279,mtfp1
1280,msi2
1281,rp9p
1282,cadps
1283,siglec15
1284,stard8
1285,dync2h1
1286,prkar2b
1287,tnni2
1288,camk1
1289,fkbp9
1290,cltcl1
1291,padi2
1292,nav2
1293,arhgef11
1294,pfkfb4
1295,dnajc18
1296,padi2
1297,nav2
1298,arhgef11
1299,pfkfb4
1300,tmem63c
1301,myo7a
1302,dnajc18
1303,acacb
1304,capn5
1305,sptan1
1306,pcnt
1307,kdelr2
1308,ap3s1
1309,cubn
1310,vav2
1311,obscn
1312,acap3
1313,crocc
1314,osbpl5
1315,ano8
1316,croccp3
1317,croccp2
1318,spon2
1319,hook2
1320,lss
1321,acap3
1322,osbpl5
1323,ano8
1324,croccp3
1325,croccp2
1326,spon2
1327,hook2
1328,prss27
1329,lss
1330,fbrsl1
1331,sppl2b
1332,idua
1333,anapc2
1334,fpgs
1335,lsm7
1336,brf1
1337,wdr90
1338,ints1
1339,tert
1340,fkrp
1341,fbrsl1
1342,tnk2
1343,idua
1344,anapc2
1345,fpgs
1346,lsm7
1347,brf1
1348,wdr90
1349,ints1
1350,tert
1351,acap3
1352,fkrp
1353,tsc2
1354,inpp5e
1355,pkd1p1
1356,notch1
1357,slc12a4
1358,cdan1
1359,snora71b
1360,agrn
1361,zdhhc8
1362,pkd1
1363,dgat2
1364,vnn1
1365,mnda
1366,rgs2
1367,c1orf162
1368,chst10
1369,e2f6
1370,znf416
1371,il17d
1372,cldn12
1373,ccny
1374,fam174b
1375,trim24
1376,kbtbd4
1377,chst10
1378,znf416
1379,il17d
1380,cldn12
1381,ccny
1382,fam174b
1383,trim24
1384,kbtbd4
1385,cdc42bpb
1386,mipol1
1387,bace1
1388,nmnat3
1389,apba1
1390,intu
1391,dock1
1392,kiaa1217
1393,ptgr1
1394,ophn1
1395,linc00265
1396,herc2p9
1397,lrrc37a
1398,lrrc37a2
1399,arl17a
1400,linc00265
1401,herc2p9
1402,agap4
1403,hap1
1404,kif26b
1405,igsf10
1406,zfyve9
1407,tptep1
1408,fgd6
1409,ankrd24
1410,dgkg
1411,shank2
1412,tptep1
1413,igsf10
1414,hap1
1415,zfyve9
1416,wnk3
1417,fgd6
1418,dsc2
1419,abhd3
1420,ankrd24
1421,dgkg
1422,shank2
1423,rad54l2
1424,pogz
1425,znf587
1426,ankrd52
1427,pdpr
1428,hmmr
1429,tubg1
1430,bub1
1431,dlgap5
1432,hmmr
1433,fam72d
1434,fam72a
1435,tubg1
1436,bub1
1437,dlgap5
1438,herc2p9
1439,ppip5k1
1440,trrap
1441,ube4b
1442,mtor
1443,znf69
1444,herc2
1445,cd96
1446,nudt19
1447,smyd2
1448,schip1
1449,znf641
1450,tnfrsf10d
1451,diras1
1452,caln1
1453,bcl6b
1454,nudt19
1455,smyd2
1456,schip1
1457,znf641
1458,scn3b
1459,spon2
1460,tnfrsf10d
1461,diras1
1462,caln1
1463,bcl6b
1464,tmem128
1465,zdhhc4
1466,tmem42
1467,ociad2
1468,ubxn2b
1469,dctd
1470,erc1
1471,zdhhc4
1472,tmem42
1473,ociad2
1474,ubxn2b
1475,dctd
1476,erc1
