"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000167703",1.77698377066242,5.88418574252905,108.685602743073,6.11481202059336e-24,1.9352634336395e-23,"+","ENSG00000167703"
"ENSG00000134109",1.77542557893417,8.84639956582219,261.130980515183,5.25010554677343e-51,4.43813482572847e-50,"+","ENSG00000134109"
"ENSG00000102678",1.77492042948978,1.60037446616521,26.0300356996451,4.20692080922734e-07,6.67755405755767e-07,"+","ENSG00000102678"
"ENSG00000106565",1.77335858460649,1.0926517498062,30.8409995687762,3.81955990680981e-08,6.38364365671872e-08,"+","ENSG00000106565"
"ENSG00000162946",1.77333231835343,4.58231064408124,148.717692545774,1.76067637959984e-31,7.46374933083552e-31,"+","ENSG00000162946"
"ENSG00000198039",1.77302360824651,5.38717755203658,335.790368392859,7.73588948884484e-63,9.65200980838948e-62,"+","ENSG00000198039"
"ENSG00000189319",1.77287539536121,7.63006216871847,119.412921734229,5.39027339662811e-26,1.85282616144758e-25,"+","ENSG00000189319"
"ENSG00000167705",1.77238613282198,3.40731444364487,167.947239580005,5.51566574108648e-35,2.6429571143404e-34,"+","ENSG00000167705"
"ENSG00000128311",1.77038850796718,3.21987268848704,83.2756646048353,5.76252191724673e-19,1.51395999996343e-18,"+","ENSG00000128311"
"ENSG00000120868",1.77011959830914,6.75146547541365,242.908060346544,5.45494112884489e-48,4.12730706051844e-47,"+","ENSG00000120868"
"ENSG00000188167",1.7684516164798,3.66981401044149,379.932703393098,1.81526549853908e-69,2.85168100593743e-68,"+","ENSG00000188167"
"ENSG00000179750",1.76708633457031,2.44041575075982,65.0063151061192,2.73769338344457e-15,6.23342855651461e-15,"+","ENSG00000179750"
"ENSG00000145284",1.76657378777236,4.18015674336716,118.734876971445,7.25647101918702e-26,2.47985167092365e-25,"+","ENSG00000145284"
"ENSG00000106070",1.76606382674839,4.94036042568153,84.1124380040184,3.92914210025675e-19,1.03944032401491e-18,"+","ENSG00000106070"
"ENSG00000172650",1.76546872930658,2.49541530169723,45.5555964113649,2.85961437569763e-11,5.50539408591283e-11,"+","ENSG00000172650"
"ENSG00000134243",1.76391619974995,5.11941856327347,66.2777710543122,1.50861725927903e-15,3.47643714374085e-15,"+","ENSG00000134243"
"ENSG00000112200",1.76362526790335,8.09857553026805,401.547413041444,1.26983915738103e-72,2.19992428653889e-71,"+","ENSG00000112200"
"ENSG00000114993",1.76348710836493,3.11891217657803,142.951249198763,2.04613842012129e-30,8.33355057736782e-30,"+","ENSG00000114993"
"ENSG00000134909",1.76217959536169,5.82085351328926,44.1686802689194,5.59079874543231e-11,1.06403937402068e-10,"+","ENSG00000134909"
"ENSG00000172197",1.76147764464398,4.54796015155709,224.601801895168,6.6365366612641e-45,4.52050917147312e-44,"+","ENSG00000172197"
